Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
7d3ccffd552856ad07d1d1fc7168bc36674c8ef9,083b7260314e48be5e10a9191da36fb2c0974b91499a5445d8a895ce901d4458b2a95e4fda48ae1ab55dfac3302268fbf967709c30ef58135041ce5d7d844065,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1260.0,5.4,,,32.0,6.0,17.5,2.93,0.0,2.0,22.43,Credit Card,Taxi Affiliation Services,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
90e151a932eee9fb963a4c9c826ff2911bc3992d,81092e4881f56106fae845c3ae4492f8b3c3213c33c92074805b52ebc1d357964d7766dbe8560f542415936bf66ca91e70f93c55b29af20b3c827da4b8cfb4f3,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,240.0,0.9,,,8.0,8.0,5.5,2.0,0.0,3.0,11.0,Credit Card,Taxicab Insurance Agency Llc,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
ac2d8fee409bc2862920b3546f43bd3c2cbbf515,8c98e1cdb3dab1bc678b683ceee6e1b39399a7670622e9937281af0b40c1641f0aa219fd0fe5340455e7e79c896b6eb5d6b47cde0fee95e9c9907a0da87c43d7,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,792.0,3.28,,,32.0,31.0,15.03,3.95,0.0,0.0,18.98,Mobile,Taxicab Insurance Agency Llc,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.850266366,-87.667569312,POINT (-87.667569312 41.8502663663)
b6b2e5b4de1d775f1979d1b2e728cd7418dc329a,42e3ec7750e4be6e56c47bcdefe5cb86ddb0d0c65bcf4d09773512b3e854ed08adeacdad835a4e92a8ca871021858984bb70a72c1dc17d22b49d2f664a6e0fd2,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1444.0,15.36,,,76.0,,38.75,10.24,0.0,29.0,78.49,Credit Card,Taxicab Insurance Agency Llc,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
c3fc92d5d2254e7962b3e389cff6257beb837fe1,13c0599d1bce4a6239d30c3feeba903749ab197df436dca1fd076d303bc72927f1130b4cc5000b81d016d10b8dc4f933bc2a695a726905975e9fe29705651f32,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,486.0,0.78,,,8.0,8.0,6.75,4.0,0.0,0.0,11.25,Credit Card,Patriot Taxi Dba Peace Taxi Associat,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
c22902fdf0548a8d12ce49015763fcb9330d4080,1bb875f74db6b3d8bcab27f6784218036ec738c201e5334b477f2c6b93d866f9f3ef90dc9c7fe1d1c50275b7acc6087cff8011a5ced4e3b546cb6c643c85b119,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,6.0,0.07,,,,,3.25,0.0,0.0,0.0,3.25,Cash,Flash Cab,,,,,,
c2c335c8bb7699ae743ef2b8046de1a10d786705,645ece5b4e5751d95a8a3386dd01fd824e3f39131921f0345493d4d0f48dd84a0b69d5d9dc715b2b9de48d319c3329c7653aa41b0a9a5eeaf1bf672c96ffb842,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,583.0,2.33,,,3.0,1.0,9.5,0.0,0.0,1.0,10.5,Cash,Sun Taxi,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),42.009622881,-87.670166857,POINT (-87.6701668569 42.0096228806)
c932804daadf25abe0b909f5f4972dd0bfac9cad,dba6a86e74669ab2eb5130718c23bf1800b66a4ec8883609b0885a06125d663335ef4c1444d055fde0955c816e8993b72d7d4c4de4c63db6832509dc91698623,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,734.0,0.87,,,32.0,8.0,7.75,0.0,0.0,0.0,7.75,Cash,5 Star Taxi,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
d731e76a79086a207493944711230194aa659d8b,294ae9e2f433bb460731f9199b1837de3cf88ad987a42b317534002023a9a4db6589aabb5bd0140538959513966436143f06a32f795c5167ef73c4006d7c7e75,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,1620.0,18.7,,,76.0,33.0,46.25,0.0,0.0,6.5,52.75,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
df149917c5ce61bc398efa8d1dc5f80ddc47f54b,e96f82b69fe36bdce0bdae54310c2b4ff6453b5aae1440a057b5347d9efd822f296cf316429692410b78812669c7c59d6d17a96d9b8b58bcbd7816613b8bc876,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1274.0,8.29,,,32.0,77.0,23.5,0.0,0.0,0.0,23.5,Prcard,Medallion Leasin,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999)
e733e5c1e6de47ac5f751c20f849af13f7619788,f6d4ccd11c7def8e9b0a7cbfea8c9b1a733540a60eea288eddb58a3da5f060761c8cb089728d64db62b77cbfd9b4488c9c4207817292d620903a9813cd25ee9b,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,582.0,2.84,,,7.0,8.0,10.5,6.0,0.0,0.0,17.0,Credit Card,Flash Cab,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
f090f848a56dad1386f43addc8da3550537d3432,0602c4dcde4b0fa95e24da18797128a90565512392fffdd4884a10eab50d59e27122f19b53c3ee249986f24a28fff31c8cf5785ddda764e236060e63d85e510e,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,1764.0,15.46,,,76.0,7.0,41.5,0.0,0.0,8.0,49.5,Cash,Medallion Leasin,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843)
fb209d9b4b3083aeb5d980e6fc1402ba50814a5e,dd38b7cebd5414ae2b17595c68048ff8745c5147487c6c21819daf489517055192acf8e79b37a52b929601021940f63b5fcae96aa07346acff8bc4298fdc9be6,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,60.0,0.0,,,32.0,32.0,3.5,0.0,0.0,0.0,3.5,Cash,Taxi Affiliation Services,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
fd4e71f75722b2eea16e3bf9f0c4262cc4af7e78,9254a08e0db3d3927e9cca4b40763bc6867c61350211ac81695e7282f8da382fe4a780827005bc1e361bfea4c54d655d4967405c34a156306a47fe5e6663e0c3,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1399.0,7.35,,,7.0,2.0,22.5,0.0,0.0,0.0,22.5,Cash,5 Star Taxi,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027)
061aff7b0f8c46651d0f30e2f3e38acafb6ac81f,222a0a55fe5180e292a8e128804e081fa50b05a0329775f9344b50ee230f23d12635ee6a2429af764d01221057af04260089849cfb0192fa29bfda38362ffad6,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,938.0,7.48,,,76.0,,20.5,0.0,0.0,6.5,27.5,Credit Card,Flash Cab,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
06c388a4f54be65c7302502c4bea80c329ec38da,7f9a6d676afea5d94d661cacb40cefdd6b22f62663754236d997eb86e59a7ac8238eef593c6a4f9ed765cf644a7d1e64b946c935824fb5295bc604d6f0af8bb2,01/01/2023 12:00:00 AM,01/01/2023 12:45:00 AM,2000.0,6.43,,,6.0,33.0,22.25,2.5,0.0,1.0,26.25,Credit Card,Globe Taxi,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
0791d53b12b32bd017db74008d785c8b502ad723,9254a08e0db3d3927e9cca4b40763bc6867c61350211ac81695e7282f8da382fe4a780827005bc1e361bfea4c54d655d4967405c34a156306a47fe5e6663e0c3,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1399.0,7.35,,,7.0,2.0,22.5,0.0,0.0,0.0,22.5,Cash,5 Star Taxi,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027)
0b7c603c1cd577caa5c5c328b145421ada054e10,b968bad5a2daed924a10e8ec4fb35513e060a076c575f7edf0645d2478970be1f759135fc45134f7f7114c545bb6087cd734c1af59bfc9b6de35052c99bed025,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,480.0,0.0,,,8.0,8.0,6.75,2.0,0.0,1.0,9.75,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
0aa0b91de91189c3b41d7c30ecf5442b09388a5f,36add30222345794b60adf964631e6a1994b1a77c74105252a2841c07f883b2260c14571bd2d588607f0025d3c9377195275a0baaa415a51181b4b975e7480c6,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,844.0,5.95,,,8.0,22.0,17.5,0.0,0.0,0.0,17.5,Cash,Sun Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205)
121060d23b4c3cf77471f4f93527a20e3d317c03,a1b762f1aec578cc84bb53bb095eaf9dffd68e6ad0c27187418462087e8a9568a8d98ced316271f1c63b26edf81376ed74f30eb4869d06bbec089b7698205d61,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1180.0,0.0,,,23.0,8.0,24.16,6.03,0.0,0.0,30.19,Mobile,Flash Cab,41.900069603,-87.720918238,POINT (-87.7209182385 41.9000696026),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
15ad2673339e784fd9a4673f7ef07bde996e9530,645ece5b4e5751d95a8a3386dd01fd824e3f39131921f0345493d4d0f48dd84a0b69d5d9dc715b2b9de48d319c3329c7653aa41b0a9a5eeaf1bf672c96ffb842,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,583.0,2.33,,,3.0,1.0,9.5,0.0,0.0,1.0,10.5,Cash,Sun Taxi,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),42.009622881,-87.670166857,POINT (-87.6701668569 42.0096228806)
186cafb844e56c58a6a9e5c595a13f4f8f9cd98f,36add30222345794b60adf964631e6a1994b1a77c74105252a2841c07f883b2260c14571bd2d588607f0025d3c9377195275a0baaa415a51181b4b975e7480c6,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,306.0,0.77,,,32.0,8.0,5.5,4.0,0.0,1.0,11.0,Credit Card,Sun Taxi,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
26d8ad56a2c363618c0f22925124234421ddc1e0,fd6d0bcebb6d873f590748d5f16717d261b8980edd7741499ca73c56d46e0475e8572075bffe4f6dc1a1c7c7d6a327988f80493fcb4303306fe71d370b75a095,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,1716.0,13.15,,,76.0,1.0,34.25,6.41,0.0,8.0,49.16,Credit Card,Star North Taxi Management Llc,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),42.009622881,-87.670166857,POINT (-87.6701668569 42.0096228806)
2e8811957e607e8b4035ae7683d0b1e81ae8e319,c3fe9312c9722befcf39d581225faa3d8dfae24c783c7443d360a6ffd567782720616e61ad54176b81d68a5611199c2fa710d69cc8427bc3d9d08bd8f9bab052,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,548.0,3.19,,,7.0,6.0,11.25,0.0,0.0,1.0,12.75,Credit Card,City Service,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
2f5125aa2c7916ad6957abd266dfcacf83d81cfb,b9ce4a1df5c8bf18e20212f8310e1b1e72b44dff6c9157ecd9cf5174643e0983e9ee0cd67b8596b2d74f4d1571fc7108d2030bf17741a9dcaf9433e1f615176b,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,507.0,0.52,17031081700.0,17031081500.0,8.0,8.0,6.0,0.0,0.0,1.5,7.5,Cash,City Service,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
2bb00b05b5a124eec3e26ad9ec3f272b4d334f19,b889c2489ef79cdbcc7d26375dc93bdb4eb77de9f7e393990343d80168ff7bd7013ccd0b3dcd6456924ba204c257a8e145403a1f0ccc3ee9ed67e253863ac35c,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,382.0,1.24,,,8.0,24.0,6.75,0.0,0.0,0.0,6.75,Cash,Flash Cab,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
32b0e9576692dd85000edae16ab9a825f307bd3d,ff5a3bcec871b7dd99b5eb851c17f4198eec9e3d4d1ecea766865da5484ef0a040ebc53d0afdbf612ac005c0bd445ee6db84b0d04b8ff66e79583fd4ea425e7a,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,480.0,1.0,,,8.0,8.0,6.75,3.0,0.0,1.0,10.75,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
2fc93b22b95c08a745f88cfeebc1fc32f5ba0571,b50eb90cadd2a392b75b725c90d6784b429ca6854e0947174523caaaed12df1e0828a8018739983be35007dc9b24ee0e3b1e098373528584a5a8c2e60bbb3ae6,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,1139.0,4.78,,,8.0,3.0,17.4,4.34,0.0,0.0,21.74,Mobile,Medallion Leasin,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
3377c287ad6f34bbb5d1b50ab5e287e93c953147,16c9cec3bf7e9c7a75a8c64e649e390af508e6e9694b80a53dbfc7c8b9d042fa3ea4865c340212681fcb81403dbafca1186c6d58d5beafce7773460d09c393d4,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,480.0,0.1,,,1.0,1.0,7.0,0.0,0.0,0.0,7.0,Cash,Taxi Affiliation Services,42.009622881,-87.670166857,POINT (-87.6701668569 42.0096228806),42.009622881,-87.670166857,POINT (-87.6701668569 42.0096228806)
3e23ed6f78b4f284e3d170d253b5170c5d82bb00,e64ae81fa38a2e8716a35dfa4e316dddd2eda286f5824e561efb5d5510089add938e5fcacd330751d5d02a2693418f6d31466234ec681cfedf115e9ccda9debf,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1061.0,2.27,,,8.0,32.0,11.0,2.67,0.0,0.0,13.67,Mobile,Sun Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
393f3410c5091aa157103647fd42efd3c417a7ab,8307cf9433f0293eee99c6944aeab484521d9cd9b1fce59472580dde77dbb981858564b8de50202efa8fbb2904755e092e70f94524bf3b6c015f852181998c7e,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,168.0,0.33,,,8.0,8.0,4.25,4.0,0.0,0.0,8.75,Credit Card,City Service,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
3f07cb261574b204709ba5337494527094a9bae4,4ab7a7510c1ebcc9b2e3eaa7bdd6508dbea34da7986aca2d8478bb55d1eabf707cda06384ba05783521e50bd5c027c95e6feda8af5eb623f31aceb1c9cf7c6cf,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1341.0,16.63,17031980000.0,17031081500.0,76.0,8.0,41.5,5.0,0.0,6.0,53.0,Credit Card,Sun Taxi,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
4137f1a26a7aa57d6d41414593d6216dbadfe4bd,c797f1560410b9db343567ea7c8e4095f66ceb65800fa466623d4695efdf3151679fb9bfe88ee18d47096e518c23d9c517e741de11df233e4c4bc11da8c3d8b1,01/01/2023 12:00:00 AM,01/01/2023 12:45:00 AM,3294.0,17.63,,,77.0,43.0,53.94,0.0,0.0,0.0,53.94,Cash,Flash Cab,41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999),41.761577908,-87.572781987,POINT (-87.5727819867 41.7615779081)
4da414232b0af631cd3f0dda9c01cd121880b4b1,8942c504d38b52d769ac1800e8c7dde070687626dcae14d708c2fcc98e3f7a9fd7b7501543a9203f37d49eeba4aef40729e51cc2009b154cb08a3aa2286fab16,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,960.0,0.4,,,7.0,11.0,19.25,0.0,0.0,0.0,19.25,Cash,Taxi Affiliation Services,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.978829526,-87.771166703,POINT (-87.771166703 41.9788295262)
4f65ab9c12a50ab0e5dcc8711524d4a789b0c83f,cf278f6c67e799170264672cf78527e136318d96aefd5ffab162492680b651feb5f54fd4e7a4bd924fc2022c08393d8e505a3aa7a2aff639969976a2a3493b92,01/01/2023 12:00:00 AM,01/01/2023 12:45:00 AM,1817.0,17.84,,17031320100.0,,32.0,45.0,10.1,0.0,5.0,60.6,Credit Card,Taxicab Insurance Agency Llc,,,,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918)
4f397037156dd1616765887d56f2523a20ae18c9,294ae9e2f433bb460731f9199b1837de3cf88ad987a42b317534002023a9a4db6589aabb5bd0140538959513966436143f06a32f795c5167ef73c4006d7c7e75,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,1620.0,18.7,,,76.0,33.0,46.25,0.0,0.0,6.5,52.75,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
5572aad4df2df5b23ab23bcc07a5d6faea3e00df,f6d4ccd11c7def8e9b0a7cbfea8c9b1a733540a60eea288eddb58a3da5f060761c8cb089728d64db62b77cbfd9b4488c9c4207817292d620903a9813cd25ee9b,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,582.0,2.84,,,7.0,8.0,10.5,6.0,0.0,0.0,17.0,Credit Card,Flash Cab,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
5b65bdff4dca5446e9a675702913e0401fd5a8df,e96f82b69fe36bdce0bdae54310c2b4ff6453b5aae1440a057b5347d9efd822f296cf316429692410b78812669c7c59d6d17a96d9b8b58bcbd7816613b8bc876,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1274.0,8.29,,,32.0,77.0,23.5,0.0,0.0,0.0,23.5,Prcard,Medallion Leasin,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999)
5ac32cff05c8ffa941c38352115190612c9a7bc2,ad4b1730fcbfdb84e41313179a688924012db322823f487d70ffcdbf1fa0e9ec11c35045af7e7cf561db41f5a46939ab7ea0565dc6fa26a0d14f68f6f568b92e,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,631.0,4.06,,,6.0,8.0,13.0,5.25,0.0,4.0,22.75,Credit Card,Flash Cab,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
64286e3f6436da5001e6e195be242567128889dc,32995ef9e82cc7265f1306530cb4f500562aea5b666387e988d6aeddd6eba3a243dc7d04cf09977e2ff14a5c1193618c164752c8ea7a6e252a8cd51d5bd264bf,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,540.0,1.1,,,8.0,32.0,7.0,0.0,0.0,0.0,7.0,Cash,Top Cab Affiliation,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
65698f61838827c3a740496d49e17f4537b011e8,e716392ac5803e1015d2380f86dce19363683809d07094dce7c4c101ef42f223f440b5df136877aef498b51e91189d54ce82c960c99bcce9247f28e9c406cd30,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,806.0,2.49,,,8.0,24.0,10.5,0.0,0.0,1.5,12.0,Cash,Medallion Leasin,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
63560fc74561e2b29c2811ad68dbb309eac2e3e6,8c98e1cdb3dab1bc678b683ceee6e1b39399a7670622e9937281af0b40c1641f0aa219fd0fe5340455e7e79c896b6eb5d6b47cde0fee95e9c9907a0da87c43d7,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,792.0,3.28,,,32.0,31.0,15.03,3.95,0.0,0.0,18.98,Mobile,Taxicab Insurance Agency Llc,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.850266366,-87.667569312,POINT (-87.667569312 41.8502663663)
